id,created_at,name,description,price,category,sizes,in_stock,images,for_rent,for_sale_by_order
0275d0ec-a75f-44d6-8c4c-48694b46e5f9,2026-01-26 17:10:37.324547+00,Vestido de novia Eliana,"Hermoso vestido de novia, corsé asimétrico recamado en pedrería murano
 Corte sirena con abertura",1600000,Novias,"[""S""]",true,"[""https://hqtqkjzsfpqnjifcbfus.supabase.co/storage/v1/object/public/vestidos/1769447433414-5jhuqg.jpeg"",""https://hqtqkjzsfpqnjifcbfus.supabase.co/storage/v1/object/public/vestidos/1769447433416-h79pu9.jpeg"",""https://hqtqkjzsfpqnjifcbfus.supabase.co/storage/v1/object/public/vestidos/1769447433416-49vgb5.jpeg""]",false,true
05d5217e-6572-42c3-9c94-6aff8ac58696,2026-05-07 20:45:57.488125+00,Vestido palo de rosa satinado Dary,Vestido en satin línea A con abertura en pierna,240000,Cóctel,"[""M""]",true,"[""https://hqtqkjzsfpqnjifcbfus.supabase.co/storage/v1/object/public/vestidos/1778186755954-shvlf5.jpeg""]",true,false
073a238e-bb6d-42ab-b3d0-19df7a531ad5,2026-05-07 20:41:21.889517+00,Plata estola,Vestido en lentejuelas plateadas con estola en pierna,260000,Cóctel,"[""L""]",true,"[""https://hqtqkjzsfpqnjifcbfus.supabase.co/storage/v1/object/public/vestidos/1778186480738-ttbsd.jpeg""]",true,false
089a388a-d3e1-43ea-beca-077c9399bf8b,2026-01-26 00:19:35.197909+00,Azul estolas,Azul cielo línea A estolas y abertura,260000,Cóctel,"[""S""]",true,"[""https://hqtqkjzsfpqnjifcbfus.supabase.co/storage/v1/object/public/vestidos/1769386773422-5kchzg.jpeg"",""https://hqtqkjzsfpqnjifcbfus.supabase.co/storage/v1/object/public/vestidos/1769386773423-mq9yo.jpeg""]",true,false
09fb83f5-22b8-48d5-883c-fbe568400f4f,2026-01-26 18:27:13.882634+00,Miss Colombia,"Hermoso vestido dorado y plateado, recamado en pedrería, muramos y canutillos",700000,Reinas,"[""S""]",true,"[""https://hqtqkjzsfpqnjifcbfus.supabase.co/storage/v1/object/public/vestidos/1769452032035-qelxep.jpeg"",""https://hqtqkjzsfpqnjifcbfus.supabase.co/storage/v1/object/public/vestidos/1769452032037-tg3kr.jpeg"",""https://hqtqkjzsfpqnjifcbfus.supabase.co/storage/v1/object/public/vestidos/1769452032037-q4euas.jpeg"",""https://hqtqkjzsfpqnjifcbfus.supabase.co/storage/v1/object/public/vestidos/1769452032037-zsp0wq.jpeg"",""https://hqtqkjzsfpqnjifcbfus.supabase.co/storage/v1/object/public/vestidos/1769452032037-kyvwnd.jpeg""]",true,false
12923c59-8d51-4533-b64e-70639ece31d9,2026-01-26 19:48:30.165649+00,Vino velvet,"Vestido en tono vino tinto, varillas en v y abertura en pierna",220000,Cóctel,"[""M""]",true,"[""https://hqtqkjzsfpqnjifcbfus.supabase.co/storage/v1/object/public/vestidos/1769456908817-76tfmc.jpeg"",""https://hqtqkjzsfpqnjifcbfus.supabase.co/storage/v1/object/public/vestidos/1769456908817-3xe5k.jpeg""]",true,false
12f12832-27bc-41c0-8b44-1b39d9a8cbe8,2026-01-26 18:03:38.133035+00,Vestido negro manga,"Vestido en satin negro con mangas bombachas, abdomen destapado y abertura en pierna",240000,Grado,"[""M""]",true,"[""https://hqtqkjzsfpqnjifcbfus.supabase.co/storage/v1/object/public/vestidos/1769450616232-cupsem.jpeg""]",true,false
1491d304-0031-4980-82a1-981a0e04195e,2026-01-26 18:29:38.084646+00,Vestido reina madre,"Vestido negro en tafetán, corte princesa con tablones y pedrería plata en la cintura",480000,Cóctel,"[""L""]",true,"[""https://hqtqkjzsfpqnjifcbfus.supabase.co/storage/v1/object/public/vestidos/1769452176632-2c97a.jpeg"",""https://hqtqkjzsfpqnjifcbfus.supabase.co/storage/v1/object/public/vestidos/1769452176633-xrm63h.jpeg"",""https://hqtqkjzsfpqnjifcbfus.supabase.co/storage/v1/object/public/vestidos/1769452176633-xfcyh8.jpeg""]",false,true
1ee874a2-2bec-4a5f-8671-73b4f65d298f,2026-05-07 20:19:26.289822+00,Vestidos palo de rosa,Vestidos señoriales,260000,Cóctel,"[""L""]",true,"[""https://hqtqkjzsfpqnjifcbfus.supabase.co/storage/v1/object/public/vestidos/1778185165068-le7kz.jpeg""]",true,false
204122e6-2786-4647-9580-b9b8218d70d8,2026-01-26 17:59:28.256416+00,Vestido negro zulma,"Vestido en corset con encaje, falda drapeada satinada con abertura",500000,Cóctel,"[""M""]",true,"[""https://hqtqkjzsfpqnjifcbfus.supabase.co/storage/v1/object/public/vestidos/1769450367023-kd4j3a.jpeg""]",false,true
